parent_pctile,one_to_10,eleven_to_20,twentyOne_to_30,thirtyOne_to_40,fortyOne_to_50,fiftyOne_to_60,sixtyOne_to_70,seventyOne_to_80,eightyOne_to_90,ninetyOne_to_100
Par_pctile_01_10,1.957,1.767,1.619,1.206,0.949,0.761,0.604,0.489,0.379,0.271
Par_pctile_11_20,1.516,1.497,1.496,1.283,1.086,0.894,0.75,0.631,0.504,0.349
Par_pctile_21_30,1.302,1.314,1.312,1.24,1.135,0.992,0.863,0.755,0.631,0.458
Par_pctile_31_40,1.103,1.119,1.139,1.16,1.141,1.064,0.99,0.9,0.781,0.589
Par_pctile_41_50,0.938,0.978,0.997,1.084,1.111,1.106,1.08,1.035,0.945,0.724
Par_pctile_51_60,0.792,0.853,0.89,0.996,1.078,1.111,1.141,1.155,1.102,0.88
Par_pctile_61_70,0.677,0.744,0.784,0.919,1.018,1.118,1.172,1.237,1.265,1.076
Par_pctile_71_80,0.611,0.643,0.675,0.816,0.952,1.079,1.192,1.293,1.392,1.352
Par_pctile_81_90,0.544,0.571,0.599,0.721,0.854,1.009,1.159,1.292,1.505,1.751
Par_pctile_91_100,0.575,0.514,0.496,0.578,0.681,0.858,1.06,1.215,1.487,2.555
