par_pctile,kid_wage_rank_white_male,kid_wage_rank_black_male
Parents Percentile 1-10,41.58,35.687
Parents Percentile 11-20,43.56,36.321000000000005
Parents Percentile 21-30,44.905,38.718
Parents Percentile 31-40,46.976000000000006,41.440000000000005
Parents Percentile 41-50,49.135000000000005,43.005
Parents Percentile 51-60,51.34900000000001,43.903
Parents Percentile 61-70,53.909000000000006,47.001999999999995
Parents Percentile 71-80,56.84400000000001,47.632999999999996
Parents Percentile 81-90,60.202999999999996,51.101000000000006
Parents Percentile 91-100,65.31700000000001,57.649
